Who?	¿Quién?
What time do you usually leave home?	¿Cósa hora vos usualmente ta salé na casa?
When I grow up, I want to be a king.	Quiere yo quedá un rey si grande ya yo.
Which shoes are you going to put on?	Cosa sapatos tu ay usá?
Can you tell me what happened to Tom?	Puede tu hablá cumigo cosa ya pasá cun Tom?
Can you tell me what happened to Tom?	Puede tu hablá cumigo cosa ya sucedé cun Tom?
Do you know who bought your painting?	Sabe tu quien ya cumprá de tuyo painting?
Do you really want to live in Boston?	Quiere ba gayót tu quedá na Boston?
He is content with his present state.	Contento le cosa le ahora.
I asked Tom to sing my favorite song.	Ya mandá yo cun Tom cantá de mío favorito canción.
I don't remember where I left my car.	Hindé yo ta acordá donde yo ya dejá de mío coche.
I hear that you kissed my girlfriend.	Ya oi yo na ya besa daw tu de mio novia.
Is there anybody who can drive a car?	Tiene ba aqui quien sabe maneja coche?
It's only three days until Christmas.	Tres dias ya lang Pascua ya.
My aunt grows tomatoes in her garden.	Ta siembrá mga tomates el de mio tia na su jardín.
Please bring your own fork and spoon.	Favor llevá de tuyo propio cuchara y tenedor.
Please close the door when you leave.	Si salé tu, favor cerrá cunel puerta.
She was in a hurry to see her father.	Apuráo le para mirá de suyo tata.
The ceiling is very low in this room.	Bien bajo el quísame de este cuarto.
There's nothing more I can teach you.	Nuáy ya yo cosa mas pará enseñá cuntigo.
There's so much I want to say to you.	Bien manada gayot yo cosa quiere ablá cuntigo.
They were surprised to hear the news.	Surpresáo silá cuando ya oí silá el noticia.
This cheese is made from goat's milk.	Este queso ya salé na leche del cabrito.
Tom came home pretty late last night.	Bien de noche ya si Tom ya volvé anoche.
Tom is washing his hands in the sink.	Ta lavá si Tom de suyo mano na lababo.
Tom licked the honey off his fingers.	Ya lambé si Tom cunel miel na de suyo maga dedo.
Tom licked the honey off his fingers.	Ya lambé si Tom cunel honey na de suyo maga dedo.
Tom picked a needle up off the floor.	Ya pipiná si Tom un aguja na piso.
Tom pretended not to know the answer.	Yan tampa nusabe si Tom el answer.
Tom's house was completely destroyed.	El casa de Tom ya destruí completamente.
Tom's house was completely destroyed.	El casa de Tom ya destruí totalmente.
Tom's house was completely destroyed.	El casa de Tom ya destruí enteramente.
Tom's house was completely destroyed.	El casa de Tom ya destruí absolutamente.
Tom's house was completely destroyed.	El casa de Tom ya destruí plenamente.
Tom's not exactly my favorite person.	Si Tom no es exactamente mi persona favorito.
Tom's not exactly my favorite person.	Si Tom jendêh exactamente mi persona favorito.
When was the last time Tom came here?	Cuando si Tom ulihi ya vené aquí?
Will you come with me to the concert?	Siguí ba tu cumigo para na concierto?
Your car is more expensive than mine.	Mas caro el de tuyo coche contra de mio.
"Where's your cousin?" "He just left."	"Donde ya de tuyo primo?" "Nuevo lang le ya salé."
After lunch, I returned to the office.	Después comé mediodia ya virá yo na oficina.
Can you tell me who I need to talk to?	Puede tu hablá cun quien yo necesita man cuento?
Can you tell me why Tom is doing that?	Puede tu hablá cumigo por que ta hacé si Tom cunaquel?
Do you really want to live in a hotel?	De verasan quiere tu quedá na un hotel?
He asked me if I could do him a favor.	Ya preguntá le cumigo si puede yo hacé cunele un favor.
He knocked his knee against the chair.	Yan bunggû de suyo rodilla na silla.
I don't know and I don't want to know.	Nusabe yo patí no quiere yo sabé.
I had dinner with a friend last night.	Ya cená yo junto cun un amigo anoche.
I like to comb my hair with this comb.	Quiere yo peiná de mío pelo usando este peine.
I marked your birthday on my calendar.	Ya marcá yo de tuyo cumpleaños na de mío calendario.
I'm never going to be able to do this.	Nunca yo ay puede hacé cuneste.
I'm not sure Tom is going to be there.	Hindé yo sigurao si ay andá si Tom allá.
It's OK with me if you take that book.	OK lang cumigo si llevá tu cunese libro.
Look at the large building over there.	Mirá tu cunese grande edificio allí.
My father has decided to quit smoking.	Ya decidí de mio tata pará el fumada.
Please tell me how to get to the bank.	Favor ablá cumigo pakimodo andá na banco.
She had to choose her words carefully.	Necesita le escují enbuenamente su maga palabra.
The soup in the pot tasted very salty.	Bien saláo el sopas na cacerola.
Tom lay on the bed with his eyes open.	Ya acostá si Tom na cama abierto el magá ojos.
We are very grateful for what you did.	Ta agradecé gayot kamé cuntigo por el cosa tu ya hacé.
We have to paint the bathroom ceiling.	Necesita kitá pintá cunel quísame del baño.
Why do you need a comb if you're bald?	Por que pa tu necesita peine si calvo man tu?
You mustn't depend on others for help.	Hindé tu debe dependé na ayuda del otro.
You were absent from school yesterday.	Nuáy tu andá na escuela ayer.
You were absent from school yesterday.	Nuáy tu allá na escuela ayer.
Your daughter is not a child any more.	Hindé ya batâ diútay de tuyo hija.
Did anyone see where I left my glasses?	Tiene quien ya puede mirá donde yo ya dejá de mío antipara?
Do you know when his plane is arriving?	Sabe tu cuando llegá su eroplano?
Do you know why this date is important?	Sabe tu por qué importante este fecha?
He bumped his head against the ceiling.	Yam bunggû de suyo cabeza na quísame.
He put his hand gently on her shoulder.	Hinay hinay le ya poné de suyo mano na de suyo ombro.
I think I left my umbrella in your car.	Dol ya dejá yo de mío páyung na de tuyo coche.
It would be nice if it stopped raining.	Bueno era si pará ya el ulán.
My little brother asked for some money.	Ya pidí el de mío hermano diútay sen.
Onions cook more quickly than potatoes.	Mas pronto cucí el cebollón contra el patatas.
Onions cook more quickly than potatoes.	Mas pronto cucí el cebollón que cunel patatas.
Onions cook more quickly than potatoes.	Mas paspás cucí el cebollón que cunel patatas.
Raise your hand if you know the answer.	Alzá el mano si sabe tu cunel answer.
The patient is feverish this afternoon.	Tiene calentura el paciente este tarde.
Tom doesn't want to talk about it here.	No quiere si Tom man cuento sobre aquel asunto aquí.
Tom is an honest person, so I like him.	Un persona honesto si Tom por eso ta gustá yo cunele.
Tom tried to sit up, but was unable to.	Ya pricurá sintá si Tom, pero nuay le puede sintá.
Tom wasn't the one who borrowed my car.	Hindê si Tom el quien ya prestá de mío coche.
Tom's medication's not in the bathroom.	El maga medicamentos de Tom es no hay na baño.
Tom's medication's not in the bathroom.	El medicamentos de Tom es no hay na baño.
Tom's medication's not in the bathroom.	No hay na baño el medicamentos de Tom.
Tom's medication's not in the bathroom.	El medicación de Tom es no hay na baño.
Tom's medication's not in the bathroom.	No hay na baño el medicación de Tom.
Which do you like better, meat or fish?	Cosa tu mas quiere, carne o pescáo?
Do you know why I fell in love with Tom?	Sabe tu por qué yo ya queré cun Tom?
I don't know what has become of the boy.	Nusabe yo cosa ya ya pasá cunel batâ hombre.
I don't know what that animal is called.	Nusabe yo cosa el nombre de ese animal.
I'm sorry, but I'll have to go home now.	Paciencia, pero necesita ya yo volvé.
Mary helped her mother with the cooking.	Ya ayudá si Mary cun de suyo nana cucí.
Somebody had drowned her in the bathtub.	Tiene quien ya hacé cunele lumús na bathtub.
The accident occurred yesterday morning.	Ya ocurrí el accidente ayer aga.
What do you want to be when you grow up?	Cosa tu quiere quedá grande?
Without your help, I would have drowned.	Man lumús era yo si hindé por causa de tuyo ayuda.
Without your help, I would have drowned.	Man lumús era yo si nuáy tu ayudá.
You aren't allowed to go into that room.	Nuay tu permiso entrá na ese cuarto.
A burglar broke into the bank last night.	Un ladrón ya entrá na banco anoche.
How much do you leave for a tip in Spain?	Cuanto el tip ta dale na España?
I don't care what you do with your money.	No hay yo quever cosa tu ta hacé con de tuyo sen.
I gave him what little information I had.	Ya dale yo kunele el cosa poco informacion que tiene yo.
I wanted Tom to know what happened to us.	Quiere yo, sabé si Tom cosa kanamon ya pasá.
My boyfriend has a lot of female friends.	Bien manada amiga el de mío novio.
Seeing me, they suddenly stopped talking.	Al mirá cumigo, biglá silá ya pará man cuento.
She called him to say that she'd be late.	Ya llamá le cunele para habla kay ay atrasá le.
She squeezed the juice from many oranges.	Ya hacé le puga manada naranja para sacá cunel juice.
There are many red flowers in the garden.	Bien manada mga flores coloráo na jardín.
Tom ran to the door and tried to get out.	Ya corré si Tom hasta na puerta y ya pricurá salé afuera.
Tom was stabbed in the chest three times.	Ya lancéa con Tom na pecho tres veces.
Tom was stabbed in the chest three times.	Ya man puñalada con Tom na pecho tres veces.
Tom was stabbed in the chest three times.	Tres veces ya lancéa na pecho con Tom.
Tom was stabbed in the chest three times.	Tres veces ya man puñalada con Tom na pecho.
We watched a baseball game on television.	Ya mirá kamé juego de béisbol na TV.
You can't separate language from culture.	No puede tu apartá el lenguaje na cultura.
"Tatoeba" means "for example" in Japanese.	"Por ejemplo" el cosa quiere decir el "Tatoeba" na lenguaje de Hapon.
Cockfighting is illegal in many countries.	Ilegal el sabungán na mucho país.
Do you know who invented the Ferris wheel?	Sabe tu quien ya inventá cunel Ferrish wheel?
Give us two knives and four forks, please.	Favor dale kanamon dos cuchillo patí cuatro tenedor.
Have you ever eaten in a restaurant alone?	Ya comé ya tu na un restaurán solo solo?
I'm tired of listening to your complaints.	Cansáo ya yo de oí tuyo mga reclamo.
If he doesn't come, what will you do then?	Cosa ya tu asé si hindé ele vené?
It is very dangerous to cross this street.	Peligroso gayot travesá na camino.
The man reading a newspaper is his father.	De suyo kel tata aquel gente ta lé cunel diário.
Tom didn't understand what Mary just said.	Nuay entendé si Tom el cosa ya hablá si Mary nuevo lang.
I don't know what's going to happen to you.	Nusabe yo cosa cuntigo ay pasá.
I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cuntigo.
I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cun ustedes.
I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cun vosotros.
I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cuninyo.
I don't know what's going to happen to you.	Nusabe yo cosa ay pasá cumbó.
I would like to go to the concert with you.	Quiere yo siguí cuntigo na concierto.
Smoking is not allowed inside the elevator.	No puede tu fumá adentro del elevator.
The cold weather continued for three weeks.	Por tres semanas frio el tiempo.
The streets in Tokyo are full on Saturdays.	Bien manada gente el maga camino de Tokyo si Sábado.
Tom is busy now, so he can't talk with you.	Busy si Tom este mga momento, entonces no puede ele conversá cuntigo.
Tom is busy now, so he can't talk with you.	Ocupao si Tom este mga momento, entonces no puede ele conversá cuntigo.
Tom may use my video camera if he wants to.	Puede usá si Tom de mío videocam, si quiere le.
Tom stared at the ceiling, unable to sleep.	Yan tunganga si Tom na quísame, no puede le durmí.
Wash your hands before you handle the food.	Lavá de tuyo mano antes de agarrá cunel comida.
Why do you need a comb if you have no hair?	Por que pa tu necesita peine si nuay man tu pelo?
I finished reading this novel in three days.	Ya acabá yo lé cuneste novela dentro de tres dias.
I think I left my keys on the kitchen table.	Dol allá yo ya dejá de mío maga llave na mesa na cocina.
I think Tom is only pretending to be asleep.	Dol tampa-tampa lang man ta durmí si Tom.
I wanted to be a bus driver when I was five.	Cuando cinco años pa lang yo, quiere yo quedá un motorista de bus.
I will give you a bicycle for your birthday.	Ay dale yo cuntigo un bike na de tuyo cumpleaños.
If you push this button, the door will open.	Si pichí tu cuneste botón, ay abrí el puerta.
Tom asked me to pick Mary up at the airport.	Ya mandá si Tom cumigo man sundô cun María allá na aeropuerto.
Tom didn't want to admit that he was scared.	No quiere admití si Tom na tiene le miedo.
Which do you like better, apples or bananas?	Cosa tu mas quiere, mansanas o saguing?
After she had lunch, she got ready to go out.	Ya prepará le para salé al acabar comé na mediodía.
Are you going to cut down all the trees here?	Ay acabá tu cortá cun el magá pono aquí?
Could you hand me the newspaper on the table?	Puede yo pidí favor alcanzá cumigo ese periódico encima del mesa?
Could you hand me the newspaper on the table?	¿Puede tú favor entregá conmigo el periódico na mesa?
His house is on the other side of the bridge.	El suyo casa tallá na otro lao del puente.
I am always leaving my umbrella on the train.	Ta olvidá yo pirmi mío payung na tren.
I don't understand what you're trying to say.	Hinde yo ta entendé cosa tu quiere hablá.
The hotel I'm staying at is near the station.	Cerca na estación el hotel donde yo ta restá.
There are still a lot of dishes on the table.	Manada pa plato na mesa.
Tom doesn't want to talk about what happened.	No quiere si Tom man cuento acerca de cosa ya pasá.
What will you be doing at this time tomorrow?	Cosa tu ay hacé ancina hora mañana?
You have friends who can help you, don't you?	Tiene tu mga amigo quien puede ayudá cuntigo, no?
Do you know where Tom bought his new computer?	Sabe tu donde ya cumprá si Tom de suyo nuevo computer?
I feed my cat every morning and every evening.	Ta dale yo comé de mio gato todo'l ága y todo'l noche.
I have to be home tonight before it gets dark.	Necesita que yo na casa ya este noche antes de oscurezca.
I have to be home tonight before it gets dark.	Este noche debe na casa ya yo antes de oscurezca.
I spent the whole afternoon cleaning my house.	Entero tarde yo ya limpiá de mío casa.
She's sitting in the kitchen and drinking tea.	Talla le na cocina sentáo ta tomá chá.
Though he is over eighty, he is still healthy.	Masquín más de ochenta años ya le, enbuenamente para siempre de suyo salud.
Tom can't remember where he hid the documents.	No puede acordá si Tom donde le ya escondé cunel mga papeles.
Tom lifted up his shirt and exposed his belly.	Ya alzá si Tom de suyo camiseta y ya dale mirá de suyo barriga.
I thought we could dye our hair the same color.	Pensaba yo puedé kamé teñí diamon pelo igual color.
If you have a car, you can come and go at will.	Si tiene tu coche, puede tu andá y vené masquín cuando tu quiere.
Mary baked three dozen cookies for Tom's party.	Ya hacé si María tres docenas de cookies para el party de Tom.
No matter what you say, I won't change my mind.	Masquín cosa tu ablá, ay hindé yo cambiá de mio pensamiento.
Where is the most beautiful place in the world?	Donde el pinakabale lugar del entero mundo?
The supermarket is open Monday through Saturday.	Abierto el grocery Lunes hasta Sábado.
Tom arrived too early and Mary wasn't ready yet.	Bien temprano ya llegá si Tom; hindé pa preparáo si Mary.
Father wants me to study abroad while I am young.	Mi tata quiere conmigo que estudía yo afuera mientras yo joven pa.
Father wants me to study abroad while I am young.	Mío tata quiere conmigo que estudía yo afuera del país mientras yo joven pa.
I don't want to sleep on the couch again tonight.	No quiere yo durmí ulét na sofá luego denoche.
The paint is peeling off the weather-beaten wall.	Ta cascá el pintura del dingdíng bungkáo.
You may take either the big box or the small one.	Puede tu escují cunel grande o diútay cajón.
Didn't you know that he passed away two years ago?	Nuay tu sabé que ya murí ya le dos años ya?
I'm not worried about Tom. I'm worried about Mary.	No hay yo lingasa cun Tom, pero cun Mary tiene.
I couldn't sleep well because it was noisy outside.	No hay yo puede durmí enbuenamente kay alboroto afuera.
I sometimes hear my father singing in the bathroom.	Tiene vez ta puede yo oí de mío tata ta cantá na baño.
Tom is too drunk to drive. Could you take him home?	Bien borracho si Tom para puede manejá. Puede tu llevá cunele bolbe na casa?
He can't do this kind of work, and she can't either.	No puede le hacé cuneste clase de trabajo, masquín ele no puede también.
Children like to pretend to be adults when they play.	Quiere quiere el mga batâ pretendé como mga mayor silá si ta jugá silá.
We can't make Tom do something he doesn't want to do.	No puede kitá mandá cun Tom hacé cosa le no quiere hacé.
When you can't do what you want, you do what you can.	Si no puede tu hace el cosa tu quiere, ta hace tu el cosa tu puede.
You can't force me to do anything I don't want to do.	No puede tu forsá cumigo hacé cosa yo no quiere hacé.
Sometimes I say "yes," even though I want to say "no."	Tiene vez, ta hablá yo "sí" masquín quiere yo hablá "no".
My English teacher recommended that I read these books.	Ya recomendá de mío maestro de inglés na lé yo cunestos maga libro.
A mother is responsible for the conduct of her children.	El nana el responsable na conducta de suyo maga anák.
I left my keys on the table. Could you bring them to me?	Ya dejá yo de mío maga llave na mesa. Puede tu llevá kanila aquí?
According to today's paper, there was a fire in the city.	Segundo cunel diário de este dia, tiene quema na ciudad.
Do you know why Tom doesn't want to go to Boston with us?	Sabe tu por qué no quiere si Tom siguí kanaton para Boston?
Tom never told me why he had decided to become a teacher.	Nunca cumigo ya hablá si Tom por que le ya decidí quedá maestro.
I ate half the apple before I noticed there was a worm in it.	Media ya yo del manzanas ya comé cuando ya mirá yo na tiene galê gusano adentro.
The gardener planted a rose tree in the middle of the garden.	El jardinero ya siembrá un pono de rosas na medio del jardín.
Tom has a lot of religious books, but he has never read them.	Bien manada libro si Tom acerca del religión, pero nunca le ya lé kanila.
I have a cat and a dog. The cat is black and the dog is white.	Tiene yo un perro y un gato. Negro el gato y el perro blanco.
The bird picked up the twig with its beak and flew to its nest.	Ya pipiná el pajaro un ramita con su pico y después ya volá hasta su pugarán.
The roads were very muddy since it had rained during the night.	Bien malodo el mga camino kay ya cai ulán entero noche.
Have you decided whether or not you're going to sell your house?	Ya decidí ya ba tu si vendé tu de tuyo casa o hindé?
Have you decided whether or not you're going to sell your house?	Ya decidí ya ba ustedes si vendé ustedes de ustedes casa o hindé?
The older you are, the more difficult it is to learn a language.	Mas viejo tu, mas dificil aprendé un lenguaje.
Tom isn't the only one who has to study. I have to study as well.	Hindé lang si Tom el necesita estudiá. Yo también necesita estudiá.
The best way to learn French is to live in a French-speaking country.	El más efectivo manera para aprendé francés es andá na un país donde tan cuento francés y viví allá.
Don't worry! Even if I drink, it doesn't have an effect on my driving.	Numá tu man lingasa! Masquín tomá yo, no hay se efecto na mi manejada.
If you stay out drinking every night, your wife is going to leave you.	Si pirmi tu tallá afuera ta tomá, ay dejá cuntigo de tuyo esposa.
