Hi.	Cső!
This is where I spend most of the day.	Itt töltöm a nap nagy részét.
This reminds me of a girl I once knew.	Ez egy lányra emlékeztet, akik valaha ismertem.
This story sounds very unlikely to me.	Ez a történet nekem nagyon valószínűtlennek hangzik.
This will be a very dangerous mission.	Ez egy veszélyes küldetés lesz.
Though he tried hard, nothing changed.	Habár keményen próbálkozott, semmi sem változott.
To my surprise, they ate the meat raw.	Meglepetésemre nyersen ették a húst.
To tell the truth, I didn't notice it.	Hogy őszinte legyek, nem vettem észre.
Today you can eat as much as you want.	Ma annyit ehetsz, amennyit csak akarsz.
Tom Jackson is from our Boston office.	Tom Jackson a bostoni irodánkból van.
Tom admitted he couldn't speak French.	Tom elismerte, hogy nem beszél franciául.
Tom and I work in the same department.	Tom és én ugyanazon az osztályon dolgozunk.
Tom and Mary attempted to murder John.	Tom és Mary megkísérelték megölni Johnt.
Tom and Mary were among the onlookers.	Tom és Mary a bámészkodók között volt.
Tom brushed the sand from his clothes.	Tom lekefélte a homokot a ruhájáról.
Tom can sit next to me if he wants to.	Tom leülhet mellém, ha akar.
Tom can speak three foreign languages.	Tom három idegen nyelvet beszél.
Tom can't believe what he's just seen.	Tom nem akarja elhinni, amit éppen az imént látott.
Tom comes and sees me once in a while.	Tomi néha eljön hozzám látogatóba.
Tom comes to visit us once in a while.	Nagy néha meglátogat bennünket Tomi.
Tom convinced Mary that she was wrong.	Tamás meggyőzte Máriát, hogy Mária tévedett.
Tom could do a lot better if he tried.	Tom sokkal többre is képes lenne.
Tom could only tell Mary what he knew.	Tom csak annyit tudott mondani Marynek, amit tudott.
Tom decided to postpone his departure.	Tom úgy döntött, hogy elhalasztja az indulását.
Tom didn't know why his wife left him.	Nem tudta Tom, hogy miért hagyta el őt a nője.
Tom didn't pay much attention to Mary.	Tomi nem igazán figyelt oda Marira.
Tom didn't show up for work yesterday.	Tom tegnap nem jelentkezett munkára.
Tom didn't want to go there with Mary.	Tom nem akart odamenni Maryvel.
Tom doesn't understand how this works.	Tom nem érti, hogy ez hogyan működik.
Tom doesn't want to work in a factory.	Tamás nem akar gyárban dolgozni.
Tom found his glasses and put them on.	Tomi megtalálta szemüvegét és felvette.
Tom gave Mary some useful information.	Tomi adott Marinak néhány hasznos információt.
Tom gave Mary the first piece of cake.	Tom Marynek adta az első szelet tortát.
Tom goes to the same school that I do.	Tomi ugyanabba az iskolába jár, mint én.
Tom got into a fight with his brother.	Tom összeverekedett a fivérével.
Tom has already published three books.	Tomnak már három könyve jelent meg.
Tom has started looking for a new job.	Tomi új állás után kezdett nézni.
Tom has started to look for a new job.	Tomi elkezdett keresni egy új munkahelyet.
Tom has visited Australia three times.	Tom háromszor látogatott el Ausztráliába.
Tom hasn't regained consciousness yet.	Tomi még nem nyerte vissza az eszméletét.
Tom hasn't regained consciousness yet.	Tomi még nem tért magához.
Tom heard that Mary had caught a cold.	Tom hallotta, hogy Mary megfázott.
Tom heard that Mary had caught a cold.	Tom hallotta, hogy Mary meghűlt.
Tom helped the police catch the thief.	Tom segített a rendőrségnek elkapni a tolvajt.
Tom hoped that Mary would forgive him.	Tom azt remélte, hogy Mary meg fog neki bocsátani.
Tom instantly recognized Mary's voice.	Tom azonnal felismerte Mary hangját.
Tom is always at the top of his class.	Tom mindig osztályelső.
Tom is always making a mess of things.	Tom mindig rendetlenséget csinál.
Tom is good at making paper airplanes.	Tomi ügyesen tud hajtogatni papírrepülőket.
Tom is now the star of a reality show.	Tom most egy valóságshow sztárja.
Tom is one of Boston's best attorneys.	Tom az egyik legjobb ügyvéd Bostonban.
Tom is playing poker with his friends.	Tomi a barátaival pókerezik most.
Tom is smarter than most boys his age.	Tom okosabb, mint a legtöbb vele egyidős fiú.
Tom is the one who doesn't understand.	Tomi az, aki nem érti.
Tom is the one who doesn't understand.	Tom az, aki értetlenkedik.
Tom is the one who was here last week.	Tom volt itt a múlt héten.
Tom is the victim of a terrible crime.	Tom egy szörnyű bűntett áldozata.
Tom is trying hard to give up smoking.	Tom elszántan próbálkozik, hogy leszokjon a dohányzásról.
Tom is very good at playing the piano.	Tom nagyon jó zongorajátékos.
Tom is wearing a very expensive watch.	Tom egy nagyon drága órát hord.
Tom knows nothing about Mary's family.	Tomi semmit sem tud Mari családjáról.
Tom knows nothing about the situation.	Tom nincsen képben ezzel a helyzettel.
Tom left as soon as he had the chance.	Tom azonnal elment, amikor erre lehetősége nyílt.
Tom left several messages on my phone.	Számos üzenetet hagyott Tom a telómon.
Tom looks a little bit like my father.	Tom hasonlít egy kicsit apámhoz.
Tom lost the watch that Mary gave him.	Tomi elvesztette azt az órát, melyet Mari ajándékozott neki.
Tom makes more money than his parents.	Tom több pénzt keres, mint a szülei.
Tom makes more money than his parents.	Tom többet keres, mint a szülei.
Tom recovered faster than we expected.	Tom gyorsabban felépült, mint vártuk.
Tom said he didn't often go to Boston.	Tom azt mondta, hogy nem jár sűrűn Bostonba.
Tom said he didn't want to go with us.	Tom azt mondta, hogy nem akar velünk jönni.
Tom says he has no idea where Mary is.	Tom azt mondja, hogy fogalma sincs hol van Mary.
Tom says he's read all of these books.	Tom azt mondja, hogy ezen könyvek mindegyikét elolvasta.
Tom says you talked him into doing it.	Tom azt mondja, hogy te beszélted rá erre.
Tom should've discussed that with you.	Tomnak ezt meg kellett volna vitatnia veled.
Tom should've discussed that with you.	Ezt meghányvethetted volna Tomival.
Tom showed us a picture of his mother.	Mutatott nekünk egy képet Tomi az anyukájáról.
Tom speaks French to his grandparents.	Tom franciául beszél a nagyszüleivel.
Tom speaks only French to his parents.	Tomi csak franciául beszél a szüleivel.
Tom spent a lot of money last weekend.	Sok pénzt költött Tomi múlt hétvégén.
Tom spoke about the problem with Mary.	Tom megbeszélte a problémát Maryvel.
Tom thought he was doing Mary a favor.	Tomi úgy gondolta, hogy szívességet tesz Marinak.
Tom thought what Mary said was stupid.	Tomi butaságnak tartotta, amit Mari mondott.
Tom told me I should leave right away.	Tom azt mondta nekem, hogy most rögtön el kellene mennem.
Tom told me you were a little nervous.	Tamás azt mondta nekem, hogy egy kissé ideges voltál.
Tom translated the letter into French.	Tomi lefordította a levelet franciára.
Tom tried to call Mary numerous times.	Számtalanszor próbálta már felhívni Tamás Máriát.
Tom used to smoke, but now he doesn't.	Tom dohányzott, de most már nem.
Tom walked Mary to the subway station.	Tom elkísérte Máriát a metróhoz.
Tom walked Mary to the subway station.	Tom elkísérte Máriát a földalattihoz.
Tom wanted to know what we were doing.	Tom tudni akarta, hogy mit csinálunk.
Tom was asked by Mary to mow the lawn.	Mary megkérte Tomit, hogy nyírja le a füvet.
Tom was asked to appear on television.	Tomot egy televíziós fellépésre kérték.
Tom was the one who started the fight.	Tom kezdte a verekedést.
Tom wasn't injured in the train wreck.	Tomi nem sérült meg a vonatszerencsétlenségben.
Tom will be thirty years old tomorrow.	Tom holnap lesz harminc éves.
Tom will be thirty years old tomorrow.	Tomi holnap betölti a harmincat.
Tom will definitely be at the meeting.	Tom mindenképpen ott lesz a megbeszélésen.
Tom won't believe a word you tell him.	Tom egy szót sem fog elhinni abból, amit mondasz neki.
Tom worked with Mary at a supermarket.	Tom dolgozott Máriával a szupermarketben.
Tom's comments ruffled a few feathers.	Tom hozzászólásai felborzolták a kedélyeket.
Tom's father died before Tom was born.	Tom apja meghalt, mielőtt Tom megszületett.
Tom's fears weren't exactly unfounded.	Tom félelmei nem voltak kifejezetten alaptalanok.
Tom, Mary and John are in the kitchen.	Tom, Mary és John a konyhában vannak.
Unexpected stuff happens all the time.	Folyton történnek váratlan dolgok.
Unfortunately, Tom refused to help us.	Sajnos Tomi megtagadta tőlünk a segítséget.
Vultures circled over the dead bodies.	A hullák fölött keselyűk köröztek.
Wait until the light changes to green.	Várj, amíg a lámpa zöldre vált.
Walk faster, or you'll miss the train.	Lépj gyorsabban, vagy lekésed a vonatot.
Water consists of hydrogen and oxygen.	A víz hidrogénből és oxigénből áll.
Water freezes at 0 degrees Centigrade.	A víz nulla foknál fagy.
We actually don't have to do that now.	Tulajdonképpen most nem kell megcsinálnunk.
We are all convinced of his innocence.	Mindnyájan meg vagyunk győződve az ártatlanságáról.
We couldn't have picked a better spot.	Nem is választhattunk volna jobb helyet.
We couldn't have picked a better time.	Nem is választhattunk volna jobb időpontot.
We got involved in a traffic accident.	Közlekedési balesetbe keveredtünk.
We have had a lot of snow this winter.	Sok hó volt nálunk ezen a télen.
We lost sight of the man in the crowd.	Elvesztettük szem elől a férfit a tömegben.
We managed to get some foreign stamps.	Sikerült szereznünk néhány külföldi bélyeget.
We managed to get some foreign stamps.	Sikeresen vásároltunk néhány külföldi bélyeget.
We managed to get some foreign stamps.	Sikerült kapnunk néhány külföldi bélyeget.
We must deal fairly with these people.	Igazságosan kell bánnunk ezekkel az emberekkel.
We spent more money than was expected.	Több pénzt költöttünk, mint az várható volt.
We wanted to give Tom one more chance.	Még egy esélyt akartunk Tomnak adni.
We were not to blame for the accident.	Nem voltunk hibásak a balesetben.
We'll probably be away for a few days.	Valószínűleg pár napig távol leszünk.
We're not going to buy anything today.	Semmit nem fogunk ma venni.
We're obviously doing something right.	Valamit nyilvánvalóan jól csinálunk.
We're obviously doing something right.	Bizonyára jól csinálunk valamit.
We've been together about three years.	Nagyjából három éve vagyunk együtt.
We've got a very busy day ahead of us.	Nagyon zsúfolt nap áll még előttünk.
We've never given a concert in Boston.	Még soha nem koncerteztünk Bostonban.
We've never given a concert in Boston.	Még soha nem adtunk koncertet Bostonban.
What animals do you have on your farm?	Milyen állatokat tartasz a tanyádon?
What are some good sources of protein?	Mik számítanak fontos fehérjeforrásnak?
What are some good sources of protein?	Miben van sok fehérje?
What are we having for dinner tonight?	Mit fogunk ma vacsorázni?
What are we having for dinner tonight?	Mi lesz ma a vacsora?
What are you going to do this evening?	Mit fogsz csinálni ma este?
What are your top ten favorite movies?	Melyik a tíz kedvenc filmed?
What do you think this sentence means?	Szerinted mit jelent ez a mondat?
What does your father do for a living?	Apádnak mi a foglalkozása?
What is that thing in your right hand?	Mi van a jobb kezedben?
What is the best way to learn English?	Hogyan lehet a legjobban angolt tanulni?
What is the best way to learn English?	Mi a legjobb módja az angol tanulásának?
What kind of food do you usually cook?	Mit szoktál általában főzni?
What kind of person do you think I am?	Mit gondolsz rólam emberileg?
What kind of person do you think I am?	Milyen embernek tartasz?
What should they do in this situation?	Mit kéne tenniük ebben a helyzetben?
What's your favorite Mark Twain quote?	Mi a kedvenc Mark Twain idézeted?
What's your favorite leisure activity?	Mi a kedvenc szabadidős tevékenységed?
What? I can't hear what you're saying.	Mi? Nem hallom, amit mondasz.
When will your new novel be published?	Mikor jelenik meg az új regénye?
Where can I go to get a map of Europe?	Hol kaphatok egy Európa-térképet?
Which is more valuable, time or money?	Melyik ér többet, az idő vagy a pénz?
Which is more valuable, time or money?	Melyik értékesebb: az idő vagy a pénz?
Which is more valuable, time or money?	Minek van több értéke, az időnek vagy a pénznek?
Which program did you watch yesterday?	Melyik adást nézted tegnap?
While he was studying, he fell asleep.	Tanulás közben elaludt.
Who's your favorite singer-songwriter?	Ki a kedvenc énekesed-dalszövegíród?
Why did you leave the class yesterday?	Miért mentél el tegnap az óráról?
Why don't you do it like I showed you?	Miért nem úgy csinálod, ahogy mutattam neked?
Why have you been so miserable lately?	Miért vagy mostanában ilyen levert?
Why is my Internet connection so slow?	Miért ilyen lassú az internetkapcsolatom?
Will the work be finished by tomorrow?	Kész lesz a munka holnapra?
Will you be at Tom and Mary's wedding?	Ott leszel Tomi és Mari esküvőjén?
Will you be at Tom and Mary's wedding?	Ott leszel Tomi és Mari lakodalmán?
Will you still be here this afternoon?	Még itt leszel ezen a délutánon?
Would you like another glass of water?	Szeretnél még egy pohár vizet?
Would you like to hear me sing a song?	Szeretnéd meghallgatni, ahogy elénekelek egy dalt?
You are wearing your socks inside out.	Fordítva vetted fel a zoknid.
You can buy stamps at any post office.	Bármelyik postahivatalban lehet bélyeget venni.
You did well not to follow his advice.	Jól tetted, hogy nem követted a tanácsát.
You did well not to follow his advice.	Jó, hogy nem hallgattál rá.
You don't need to go to the dentist's.	Nem kell fogorvoshoz menned.
You had better prepare for the future.	Jobban föl kellene készülnöd a jövőre.
You have no idea how to do it, do you?	Fogalmad sincs, hogy kell csinálni, igaz?
You have no idea what this is, do you?	Fogalmad sincs róla, hogy ez mi, igaz?
You look good without your glasses on.	Szemüveg nélkül jól nézel ki.
You look just like your older brother.	Pont úgy nézel ki, mint a bátyád.
You may stay here as long as you like.	Olyan sokáig maradhatsz itt, ameddig csak akarsz.
You must not discuss this with anyone.	Ezt senkivel nem beszélheted meg.
You should follow the doctor's advice.	Hallgatnod kéne az orvosra.
You should have completed it long ago.	Már régen be kellett volna fejezned.
You should have replied to his letter.	Válaszolnod kellett volna a levelére.
You'll be perfectly safe here with us.	Teljes biztonságban leszel itt velünk.
You're just going to have to trust me.	Egyszerűen kénytelen leszel megbízni bennem.
You're not afraid of heights, are you?	Nincs tériszonyod, igaz?
You're not the only neurosurgeon here.	Nem ön itt az egyetlen idegsebész.
You're only three years older than me.	Te csupán három évvel vagy idősebb, mint én.
You're planning something, aren't you?	Te valamire készülsz, nemde?
You've never been to Europe, have you?	Igaz, hogy nem voltál még Európában?
Your French has improved considerably.	Sokat javult a francia nyelvtudásod.
Your friendship has great value to me.	Az ön barátsága számomra nagyon értékes.
Your friendship has great value to me.	Számomra nagy érték a barátságod.
Your friendship has great value to me.	Számomra nagy érték a barátságotok.
Your mom left you when you were three.	Anyukád három éves korodban elhagyott téged.
Your new dress looks very good on you.	Nagyon jól áll az új ruhád.
Your suitcase looks exactly like mine.	A bőröndöd pontosan úgy néz ki, mint az enyém.
"Can I use your car?" "Sure. Go ahead."	- Használhatom a kocsidat? - Persze! Vigyed csak.
"Where do you live?" "I live in Tokyo."	- Hol laksz? - Tokióban.
"Where should I sit?" "Anywhere is OK."	- Hová üljek? - Bárhová ülhetsz.
"Will he come?" "No, I don't think so."	"Vajon jönni fog?" "Nem hinném."
A little learning is a dangerous thing.	Veszélyes dolog valamiről egy keveset tudni.
A lot has changed in Boston since then.	Azóta sok minden változott Bostonban.
A true friend just tells it like it is.	Egy igaz barát megmondja a dolgokat úgy, ahogy vannak.
After three drinks, the man passed out.	Három pohár ital után a férfi eszméletét vesztette.
After three drinks, the man passed out.	Három pohár ital után a férfi ki van ütve.
All I can ask is that you do your best.	Csak annyit kérhetek, hogy adjál bele apait-anyait.
Are you dissatisfied with our decision?	Elégedetlen vagy a döntésünkkel?
Are you looking for something specific?	Valami meghatározott dolgot keres?
Are you sure you don't mind if I leave?	Biztosan nem baj, ha elmegyek?
As far as I know, she is still missing.	Amennyire tudom, még mindig nem tudni, hol van.
At what age do you want to get married?	Hány évesen szeretnél megházasodni?
At what age do you want to get married?	Hány évesen szeretne megházasodni?
At what age do you want to get married?	Hány éves korodban szeretnél megházasodni?
Be careful. This knife is really sharp.	Óvatosan ezzel a késsel, mert nagyon éles.
Can I use your dictionary for a minute?	Használhatom a szótáradat egy percre?
Can you help me with my school project?	Tudsz segíteni az iskolai munkámmal?
Can you put up with the way he behaves?	El tudod tűrni a viselkedését?
Can you read this without your glasses?	El tudod ezt olvasni szemüveg nélkül?
Can you show me where I am on this map?	Meg tudod mutatni ezen a térképen, hol vagyok?
Children grow up astonishingly quickly.	A gyerekek elképesztően gyorsan nőnek.
Come on, you can clap louder than that.	Tapsoljatok már hangosabban!
Could you just sign right here, please?	Legyen szíves, itt írja alá.
Could you knock a little off the price?	Kicsit lejjebb tudná vinni az árat?
Could you please speak a little slower?	Lennél szíves kicsit lassabban beszélni?
Could you please speak a little slower?	Tudnál egy kicsit lassabban beszélni?
December is the last month of the year.	December az év utolsó hónapja.
Did you and Tom have an argument today?	Volt vitád ma Tommal?
Did you see the Giants' game yesterday?	Nézted tegnap a Giants-ot?
Dinner will be ready in thirty minutes.	Harminc perc múlva kész a vacsora.
Divide the cake among the three of you.	Oszd el hármótok közt a süteményt.
Divide the cake among the three of you.	Harmadold el a süteményt magatok között.
Do you have any idea what's in the box?	Van valami elképzelésed arról, hogy mi van a dobozban?
Do you have any idea who's behind this?	Van valami elképzelésed arról, ki áll emögött?
Do you have many friends here in Japan?	Sok barátod van itt Japánban?
Do you intend to pursue your education?	Tervezed, hogy tovább tanulsz?
Do you know anything about your family?	Tudsz valamit a családodról?
Do you recognize the man in this photo?	Felismeri a fényképen látható férfit?
Do you remember what you were watching?	Emlékszel, mit láttál?
Do you remember what you were watching?	Emlékszel, hogy mit láttál?
Do you remember what you were watching?	Emlékszel arra, amit láttál?
Do you remember what you were watching?	Emlékszel arra, hogy mit láttál?
Do you remember what you were watching?	Emlékszel te rá, amit láttál?
Do you remember what you were watching?	Emlékszel rá, hogy mit is láttál?
Do you remember what you were watching?	Emlékszel rá, hogy te mit láttál?
Do you think Tom looks like an old man?	Szerinted Tom öregnek néz ki?
Do you think the situation can improve?	Gondolja, hogy javulhat a helyzet?
Do you want me to wrap it up as a gift?	Szeretnéd, hogy becsomagoljam ajándéknak?
Does Tom get on well with other people?	Jól kijön Tom a többi emberrel?
Does Tom really deserve to be punished?	Valóban kijár Tomnak a büntetés?
Doing that will be extremely dangerous.	Ez rendkívül veszélyes lesz.
Don't ask questions, just come with me.	Ne kérdezz semmit, csak gyere velem!
Don't breathe a word of this to anyone.	Erről senkinek egy szót sem.
Don't confuse astrology with astronomy.	Ne keverd össze az asztrológiát az asztronómiával.
Don't despise a man because he is poor.	Ne becsülj le egy embert azért, mert szegény.
Don't expect this good weather to last.	Ne számíts arra, hogy tartós lesz ez a jó idő.
Don't miss this incredible opportunity.	Ne hagyd ki ezt a hihetetlen lehetőséget.
Don't speak to him while he is driving.	Ne beszélgess vele amíg vezet.
Every time I see Tom, he's chewing gum.	Valahányszor látom Tomit, mindig rágózik.
Everyone must protect their own family.	Mindenkinek védenie kell a családját.
Everyone must protect their own family.	Mindenkinek óvnia kell a családját.
Everyone must protect their own family.	Mindenkinek oltalmaznia kell a családját.
Everyone thought we were going to lose.	Mindenki úgy gondolta, hogy veszíteni fogunk.
Everything is going well with our plan.	A tervünkkel kapcsolatban minden jól halad.
Express yourself as clearly as you can.	Mondd el érthetően, amennyire tudod.
Fires happen all the time in this area.	Ezen a környéken folyton tűzvész van.
For God's sake, what are you up to now?	Az Isten szerelmére, most meg mire készültök?
Get out of here before I throw you out!	Húzd el a csíkot, mielőtt kidoblak!
Get out of here before I throw you out!	Távozz innen, mielőtt kidoblak!
Give me a little time to think it over.	Adj egy kis időt, hogy átgondoljam!
Have you ever gotten a speeding ticket?	Kaptál már büntetést gyorshajtásért?
Have you ever seen Tom when he's angry?	Láttad már Tomit, amikor mérges?
Have you sent him a Christmas card yet?	Küldtél már neki karácsonyi lapot?
Have you written down the phone number?	Felírtad a telefonszámot?
Have you written down the phone number?	Leírtad a telefonszámot?
He acquired education late in his life.	Arra kényszerült, hogy öreg fejjel nekiálljon tanulni.
He acquired education late in his life.	Rákényszerült, hogy idős korában tanuljon.
He can't have said such a stupid thing.	Nem mondhatott ilyen butaságot.
He caused his parents a lot of anxiety.	Sok aggodalmat okozott a szüleinek.
He died as he was returning to England.	Útban visszafelé Angliába meghalt.
He explained why the experiment failed.	Megmagyarázta miért volt sikertelen a kísérlet.
He felt sad because he lost his father.	Szomorú volt, mert elvesztette az apját.
He got his neck broken in the accident.	Nyakát törte a balesetben.
He got lost while walking in the woods.	Séta közben eltévedt az erdőben.
He got out a book and began to read it.	Kivett egy könyvet és olvasni kezdte.
He has a great attachment to this town.	Erősen kötődik e városhoz.
He has reached the end of his patience.	Elérte türelme határát.
He has reached the end of his patience.	Kimerült a türelme.
He has reached the end of his patience.	Elfogyott a türelme.
He hung up before I could say anything.	Letette a telefont, mielőtt bármit mondhattam volna.
He is a waiter in a seaside restaurant.	Egy tengerparti étteremben pincérkedik.
He is getting along with his employees.	Jól megérti magát az alkalmazottaival.
He is getting along with his employees.	Jól kijön az alkalmazottaival.
He is sorry that he caused you trouble.	Sajnálja, hogy gondot okozott neked.
He killed himself at the age of thirty.	Megölte magát harminc éves korában.
He kissed his daughter on the forehead.	Homlokon csókolta a lányát.
He knows how to captivate his audience.	Tudja, hogyan fogja meg hallgatói figyelmét.
He left the room without saying a word.	Egy szó nélkül elhagyta a szobát.
He likes to watch baseball games on TV.	Szeret baseball-meccseket nézni a tévében.
He likes watching baseball games on TV.	Szeret a tévében baseball-meccseket nézni.
He never returned from that expedition.	Arról az expedícióról ő sohasem tért vissza.
He often takes his children to the zoo.	Gyakran viszi el gyermekeit az állatkertbe.
He promised to come home early tonight.	Megígérte, hogy ma este korán hazajön.
He put his hand gently on her shoulder.	Gyengéden a vállára tette a kezét.
He seems satisfied with my explanation.	Úgy tűnik, megfelelt neki a magyarázatom.
He still hasn't responded to my letter.	Még mindig nem válaszolt a levelemre.
He stood with his hands in his pockets.	Zsebre tett kézzel áll.
He stuck out his tongue at his teacher.	Nyelvet nyújtott a tanárra.
He told me that he was very tired then.	Elmondta nekem, hogy akkor nagyon fáradt volt.
He was completely absorbed in the book.	Teljesen belefeledkezett a könyvbe.
He was holding a large box in his arms.	Egy nagy dobozt tartott a karjaiban.
He was lucky enough to catch the train.	Szerencséje volt még, és elérte a vonatot.
He wonders if you are afraid of snakes.	Kíváncsi, hogy félsz-e a kígyóktól.
He wore a pirate costume for Halloween.	Egy kalóz jelmezt viselt halloween-kor.
He's always complaining about the food.	Mindig baja van az étellel.
Hello, is the accountant there, please?	Halló, kérem, ott van a könyvelő?
Her father devoted his life to science.	A tudomány szolgálatába állt az apja.
Her house is at the foot of a mountain.	A háza a hegy lábánál van.
Her new novel has become a best seller.	Az új regénye sikerkönyv lett.
His bicycle is different from this one.	A kerékpárja különbözik ettől.
His death was a great loss to our firm.	Halálával cégünket nagy veszteség érte.
His memory never ceases to astonish me.	Mindig elámulok az emlékezőképességén.
His suggestions are completely useless.	A javaslatai teljesen hasztalanok.
How come you didn't call me last night?	Hogyhogy nem hívtál tegnap este?
How come you've never been here before?	Hogy lehet az, hogy még sosem jártál itt?
How come you've never helped us before?	Hogyhogy még sosem segítettél nekünk korábban?
How do we stop it from happening again?	Hogy tudjuk megakadályozni, hogy ez ismét megtörténjen?
How many languages are there in Europe?	Hány nyelv van Európában?
How much time do you spend on Facebook?	Mennyi időt töltesz a Facebookon?
Hurry up, or you'll be late for school.	Siess, vagy elkésel az iskolából.
I already told you that she isn't here.	Már mondtam neked, hogy nincs itt.
I am not qualified for this internship.	Nem vagyok jogosult erre a gyakornoki helyre.
I am so sorry to have kept you waiting.	Ezer bocsánat, hogy megvárakoztattalak.
I am so sorry to have kept you waiting.	Nagyon sajnálom, hogy megvárakoztattalak.
I applied for a position in the office.	Megpályáztam egy állást az irodában.
I assumed that's what you'd want to do.	Feltételezem, hogy ez az amit tenni akartál.
I attended the meeting in place of him.	Helyette vettem részt a találkozón.
I came to Tokyo to attend a conference.	Egy konferencián való részvétel miatt jöttem Tokióba.
I came to Tokyo to attend a conference.	Azért jöttem Tokióba, hogy részt vegyek egy konferencián.
I can not buy spare parts for this car.	Nem tudok pótalkatrészeket venni ehhez az autóhoz.
I can't afford to buy an expensive car.	Nem tudok megengedni magamnak egy drága autót.
I can't afford to buy another computer.	Most nem tudok venni magamnak egy új számítógépet.
I can't afford to buy another computer.	Nem tudok annyi pénzt nélkülözni, hogy egy új számítógépet vehessek.
I can't afford to buy another computer.	Most nem telik egy új számítógépre.
I can't buy it because I have no money.	Nem tudom megvenni, mert nincs pénzem.
I can't change what happened yesterday.	Nem tudom megváltoztatni azt, ami tegnap történt.
I can't conceive of living without him.	Nem tudom elképzelni az életet nélküle.
I can't conceive of living without him.	Nem tudom elképzelni, hogyan élhetnék nélküle.
I can't remember what I ate last night.	Nem tudok visszaemlékezni, hogy mit ettem tegnap este.
I can't remember where I first met Tom.	Nem emlékszem, hol találkoztam Tamással először.
I can't thank you enough for your help.	Nem tudom eléggé megköszönni a segítségedet.
I can't understand this sign's meaning.	Nem értem ennek a jelnek a jelentését.
I can't understand why Tom is so upset.	Nem értem, hogy Tom miért ilyen felindult.
I decided to subscribe to the magazine.	Elhatároztam, hogy előfizetem a magazint.
I didn't feel well, but I went to work.	Nem éreztem jól magam, de dolgozni mentem.
I didn't know what I should say to Tom.	Nem tudtam mit kellett volna mondanom Tamásnak.
I didn't know what was in the envelope.	Nem tudtam, mi van a borítékban.
I didn't think anything was suspicious.	Nem gondoltam, hogy bármi is gyanús lenne.
I didn't want to disappoint my parents.	Nem akartam csalódást okozni a szüleimnek.
I don't care what the consequences are.	Nem érdekel, hogy milyen következménye lehet.
I don't get the meaning of all of this.	Ennek az egésznek nem értem az értelmét.
I don't know anything about him at all.	Róla abszolút nem tudok semmit.
I don't know exactly when I'll be back.	Nem tudom pontosan, mikor jövök vissza.
I don't know how I'd survive on my own.	Nem tudom, hogy élném túl egyedül.
I don't know how to pronounce his name.	Nem tudom, hogy hogy kell kiejteni a nevét.
I don't know when the party will begin.	Nem tudom, hogy a buli mikor fog elkezdődni.
I don't know whether he'll come or not.	Nem tudom, hogy eljön-e, vagy nem.
I don't know whether it is true or not.	Nem tudom, hogy ez igaz-e, vagy nem.
I don't like the way this fruit smells.	Nem tetszik ennek a gyümölcsnek a szaga.
I don't remember exactly what Tom said.	Nem emlékszem pontosan, hogy Tom mit mondott.
I don't see any significant difference.	Semmi jelentős különbséget nem látok.
I don't think Tom knows how to do that.	Szerintem Tom nem tudja, hogy kell ezt csinálni.
I don't think Tom needs very much help.	Nem hiszem, hogy Tomnak sok segítségre van szüksége.
I don't think that it's strange at all.	Szerintem ez egyáltalán nem furcsa.
I don't think you did this by yourself.	Nem gondolom, hogy magadtól csináltad meg.
I don't understand what the problem is.	Nem értem, mi a probléma.
I don't understand what you are saying.	Nem értem, amit mondasz.
I don't want to talk about the weather.	Nem akarok az időjárásról beszélgetni.
I don't want you to ever do that again.	Soha többé nem akarom, hogy újra megtedd ezt!
I expect you to treat Tom with respect.	Elvárom tőled, hogy tisztelettel bánj Tamással.
I feel like this is going to end badly.	Úgy érzem, ennek rossz vége lesz.
I fell in love with a girl from Vienna.	Beleszerettem egy bécsi lányba.
I figured out how to solve the problem.	Rájöttem a probléma megoldására.
I found the key in Tom's jacket pocket.	Megtaláltam a kulcsot Tom kabátzsebében.
I had my tonsils removed two weeks ago.	Kivették a mandulámat két hete.
I have four times more CDs than you do.	Nekem négyszer annyi CD-m van, mint önnek.
I have four times more CDs than you do.	Négyszer annyi CD-m van, mint neked.
I have many Esperanto-speaking friends.	Sok barátom van, aki beszél eszperantóul.
I have neither time nor money for that.	Se időm, se pénzem nincs erre.
I have seen that face somewhere before.	Ezt az arcot régebben már láttam valahol.
I have to pick him up from the station.	El kell érte mennem az állomásra.
I hope you don't mind if I leave early.	Remélem, nem bánod, ha korán elmegyek.
I hurried and managed to catch the bus.	Siettem és sikerült elérnem a buszt.
I hurried so I wouldn't miss the train.	Siettem, hogy le ne késsem a vonatot.
I interpreted their silence as consent.	Hallgatásukat beleegyezésnek véltem.
I interpreted their silence as consent.	Hallgatásukat beleegyezésként értelmeztem.
I just wish I knew how to speak French.	Csak tudnék franciául!
I know who killed the police inspector.	Én tudom, hogy ki ölte meg a rendőrfelügyelőt.
I made a good profit by selling my car.	Sokat nyertem az autóm eladásán.
I may have left my umbrella in the bus.	A buszon felejthettem az ernyőm.
I met an old student of mine in London.	Egy régi tanítványommal találkoztam Londonban.
I met her in London for the first time.	Először Londonban találkoztam vele.
I more often go to Brussels than Paris.	Gyakrabban megyek Brüsszelbe, mint Párizsba.
I must complete it as soon as possible.	Minél hamarabb be kell fejeznem.
I must visit my friend in the hospital.	Meg kell látogatnom barátomat a kórházban.
